Product Name,Suggested Brand,Image URL
travelXOXO Shiny Drum Duffle Bag,travelXOXO,https://drive.google.com/thumbnail?id=1BrXr48oUfKrIhTrF788VuqADM9YC8Jf0&sz=w1000
SOIL Eco Kraft Notebook,SOIL,https://drive.google.com/thumbnail?id=1WAvYxTm8kNtLgZ1ozLYfE92B8vtnyj2_&sz=w1000
Silicone Mouse Pad - Rectangular,,https://drive.google.com/thumbnail?id=1VteFL3dUf7qssfLA8-hn9OFjgZtprump&sz=w1000
Senator Pen,,https://drive.google.com/thumbnail?id=1vo9b7PYMBDoESv8b7VeQvrYeM3Olv6ao&sz=w1000
travelXOXO Anti-theft Backpack,travelXOXO,https://drive.google.com/thumbnail?id=1MkPe5zjf2ERM0fEq8ku_AtsMhmgpbVUA&sz=w1000
SOIL Canvas Rope Tote Bag,SOIL,https://drive.google.com/thumbnail?id=1IY7XPsKVmAIw4uUfZpaUt51gGfPORpi8&sz=w1000
SOIL Set of 3 Notebooks,SOIL,https://drive.google.com/thumbnail?id=1k1KC8zJLxGPsUi42NhhFKDJt6vrMUR1R&sz=w1000
travelXOXO Base Camp Duffle Bag II,travelXOXO,https://drive.google.com/thumbnail?id=15R2H9V4_0lQoUerS9scBtrjdz5Hr7e3X&sz=w1000
travelXOXO Neoprene Everyday Tote Bag,travelXOXO,https://drive.google.com/thumbnail?id=1sDP-oFlpb8Mm_RH7qlobtsycic2FTamn&sz=w1000
travelXOXO EDC Tactical Tech Kit,travelXOXO,https://drive.google.com/thumbnail?id=1pBX0ure2XP0_xQitmUKapU8hIty8VkOH&sz=w1000
travelXOXO Stria Laptop Sleeve - Large (14 inch),travelXOXO,https://drive.google.com/thumbnail?id=1lto6JkMmbiztF_ZV0bDxmskzskkZZbFl&sz=w1000
travelXOXO Urban Fanny Pack,travelXOXO,https://drive.google.com/thumbnail?id=1K03EF3pmP2lNAMDKjAVpkKvSRZjjPvi7&sz=w1000
travelXOXO Weekender Duffle Bag,travelXOXO,https://drive.google.com/thumbnail?id=10lKe_2Ja-n_kqFoNWVQIhfyMU0gU92W3&sz=w1000
Adalrich Power Shining Metal Ball Pen - Black,Adalrich,https://drive.google.com/thumbnail?id=1qP8-oFWQYGZCSNy69lduweJIDKbdrYbD&sz=w1000
travelXOXO Charm - Tote Bag,travelXOXO,https://drive.google.com/thumbnail?id=14V4waue4EQm47eu78uUommItHGzewn4_&sz=w1000
travelXOXO Everywhere Belt Bag 1L,travelXOXO,https://drive.google.com/thumbnail?id=1UOdoI6e85J15lJf3lgtEVTLHSwuCE5hs&sz=w1000
travelXOXO Sports Sling,travelXOXO,https://drive.google.com/thumbnail?id=1CHdl-2SmHT9P9t3LZK0zK4dpHRzcY5Ih&sz=w1000
travelXOXO Base Camp Utility Waist Pack,travelXOXO,https://drive.google.com/thumbnail?id=1W2WsSib7y4Xiojc8jHB0QZOakH4sElzE&sz=w1000
travelXOXO Foldable Car Trunk Organiser,travelXOXO,https://drive.google.com/thumbnail?id=161vsmP7T-6oAR7lVmX8K3z6zaYQcFNmp&sz=w1000
Novel Duffle Bag Charm,,https://drive.google.com/thumbnail?id=1bnWFGcvvELkheo19cWYlouW_pcKbSIIg&sz=w1000
travelXOXO Bottle Carrier Bag I,travelXOXO,https://drive.google.com/thumbnail?id=18yV477ighfllgnh129JaVu6Oabx-9qKM&sz=w1000
Adalrich Power Steel Ball Pen,Adalrich,https://drive.google.com/thumbnail?id=1j7uB-LSE1AAVOJlEeHsgQUWLV9wu0Eol&sz=w1000
travelXOXO Expedia Sling,travelXOXO,https://drive.google.com/thumbnail?id=1PiNoODjPoFVOcLMbFGt6oeb5mOqyDta1&sz=w1000
travelXOXO Base Camp Duffle - 32 Ltrs,travelXOXO,https://drive.google.com/thumbnail?id=1BELj9EWJmwnRcnYSr8imAqCwfj13IOSv&sz=w1000
Adalrich Arrow,Adalrich,https://drive.google.com/thumbnail?id=1SlDLU-bHs7UBAgNVtlyPKXnPC7pNTLq1&sz=w1000
travelXOXO Cabin Luggage Harness and Backpack,travelXOXO,https://drive.google.com/thumbnail?id=1oSpGgthV3Te6V__A6CcJvfaR2TQNQLTh&sz=w1000
travelXOXO Saba Sling,travelXOXO,https://drive.google.com/thumbnail?id=17KZgW30_ab9_65UUtFoaZRdokYWOw1EH&sz=w1000
travelXOXO Base Camp Shoulder Duffle Bag - 5L,travelXOXO,https://drive.google.com/thumbnail?id=1jt65ip31h4ai8DINw3IEb-2Glu8ICbi4&sz=w1000
travelXOXO Crossbody Sling,travelXOXO,https://drive.google.com/thumbnail?id=1f_SxaBBLjkivUwyhaaZIZv2jhEzkjg5-&sz=w1000
